Fecha de publicacion;Codigo del proceso;Tipo de proceso;Objeto del proceso;Presupuesto referencial - USD;Partida presupuestaria;Monto de la adjudicacion - usd;Etapa de la contratacion;Identificacion del contratista;Link para descargar el proceso de contratacion desde el portal de compras publicas
2025-01-20;IC-EPN-2025-001;Infima cuantía ;Contratar el servicio de publicaciones en prensa escrita, primera publicación, para la convocatoria de concursos de méritos y oposición del personal académico titular de la EPN;1520.00;530207;1520.00;En ejecución ;Gráficos Nacionales S.A Granasa;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/NCO/NCORegistroDetalle.cpe?&id=Fa7bqIIaBpTh8thxQ7hSCtGnUCxqUn4ooC5RVyz_WfA,&op=1
2025-01-21;IC-EPN-2025-002;Infima cuantía ;Contratar el servicio de un medio de comunicación escrito para la difusión de la segunda publicación, para la convocatoria de concursos de méritos y oposición del personal académico titular de la EPN;1200.00;530207;1200.00;En ejecución ;Digital Information Digitinfo S.A;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/NCO/NCORegistroDetalle.cpe?&id=vWbg7CyoE4nEtmFfpECbTfcRHtKakNH5yndmSG4F5pk,&op=1
2025-01-31;IC-EPN-2025-003;Infima cuantía ;Contratación del servicio de hospedaje (incluye alimentación: desayuno-almuerzo - merienda) para docentes que participan como miembros de la comisión de evaluación para el concurso público de merecimientos y oposición del personal académico titular de la Escuela Politécnica Nacional;7192.8;530307;7192.8;En ejecución ;Fenix Hotel S.C ;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/NCO/NCORegistroDetalle.cpe?&id=flhkYwnNC8oy_UujYVZ1aQBrGMmMiMqYYD9M343SDWw,&op=1
