Fecha de publicacion;Codigo del proceso;Tipo de proceso;Objeto del proceso;Presupuesto referencial - USD;Partida presupuestaria;Monto de la adjudicacion - usd;Etapa de la contratacion;Identificacion del contratista;Link para descargar el proceso de contratacion desde el portal de compras publicas
2024-11-05;SIE-CEC-2024-009;Subasta inversa electronica;Adquisicion de un generador de energia electrica;152660;840104;124987;Ejecucion de contrato;1722694245001;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=P7OaSj9XxCLlmvYiSaUceiY5_rSDKKSOnHHTXPfeIis,
2024-12-05;SIE-CEC-2024-011;Subasta inversa electronica;Servicio de mantenimiento de la herramienta qlik sense por tres anos;16406;530704;15503.67;Ejecucion de contrato;1791247272001;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=Ps-Y6oR7-BMnES409fCLc4M1UOj4kI-gjZfK9uuXA90,
2024-12-30;SIE-CEC-2024-012;Subasta inversa electronica;Renovacion de la infraestructura de red del cec epn;294469.82;840107;275200;Ejecucion de contrato;1792589142001;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=8AZLuc94YszF1k_mEADcrCivt_ajTu5NfXew6Lz3RCg,
2025-07-17;SIE-CEC-2025-004;Subasta inversa electronica;Difundir la oferta academica y de servicios del centro de educacion continua epn a traves de servicios de publicidad digital;72000;530207;65000;Ejecucion de contrato;1709794869001;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=B0r3DwoXwkUaGBubn0U67QXfO7JzbeAb3daa2_tXyyg,
2025-07-21;SIE-CEC-2025-005;Subasta inversa electronica;Adquirir pantallas interactivas para el cec epn;52514.8;840104;32780;Ejecucion de contrato;1720021300001;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=oXp97SBZFZ3OOpwD7sgUo1w2HZ20PGlOGZ6Eu6qIS_M,
2025-11-13;SIE-UGIPS-2025-015;Subasta inversa electrónica;Adquisición de analizadores de gases de fuentes móviles, para el laboratorio institucional de análisis de vehículos y movilidad sostenible - liavms.;44988;840104;41386.96;Adjudicado - registro de contratos;1792101263001;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=-JUhQAcL3Lyq1yXVgXzYCxVpb3gIbb7XuBCFTxWpO1c,
2025-11-12;LICSG-UGIPS-2025-001;Licitación de seguros;Contratación del programa de seguros de bienes de la unidad de gestión de investigación y proyección social;60243.03;570201;21091.17;Ejecución de contrato;190123626001;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=EL1aMxJyud0S2rYp7H615TA0GUXUE5gYupJmiC0oVrU,
2025-07-24;CDC-CGE-2025-009;Consultoría Contratación Directa;Dictaminar sobre la razonabilidad de los estados financieros de la escuela politécnica nacional, por los ejercicios económicos terminados al 31 de diciembre de 2020, 2021, 2022, 2023 y 2024, revelando aquellos hechos que pudieran afectar su posición económica financiera y que eventualmente incidirían en el dictamen presentado por la compañía auditora;32497.56;530601;31197.66;Adjudicado - registro de contratos;0401430814001;www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=PEJeH78t0YxeaO5lP9SHP7b76Cuoa_53bGW7Uboz66s,
2025-07-23;COTO-EPN-2025-002;Cotización;Adecuaciones de las instalaciones de la facultad de ingeniería en geología y petróleos;637957.74;750501;509323.40;Adjudicado - registro de contratos;1712607017001;www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=c_5Y6wRonRtn9e2RJN0vaQnD-v9C6QXqC2vhq0e96TE
2025-07-14;COTO-EPN-2025-003;Cotización;Repotenciación de las instalaciones del hemiciclo politécnico;473496.88;750501;407390.06;Adjudicado - registro de contratos;1000894236001;www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=3l8dILU9JK3aQpOCZ9pQGgSYis6Q9cEskUBUc8vrVU4,
2025-07-30;COTO-EPN-2025-004;Cotización;Adecuaciones del comedor politécnico y fachadas de los edificios 18 y 20;512658.42;750501;407708.98;Adjudicado - registro de contratos;1720728078001;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=_drD9yPP0NOhLDcmU7hzOSQcsN7ZLpEN6aRwgJM-gNk,
2025-04-16;LICSG-EPN-2025-001;Licitación de Seguros;Contratación de las pólizas de seguro requeridos para incendio todo riesgo, robo y/o asalto, equipo electrónico, rotura de maquinaria, responsabilidad civil, aviación casco aéreo, vehículos, y equipo y maquinaria de la escuela politécnica nacional;124938.97;570201;117716.19;Ejecución de contrato;0991311637001;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=wiQ1fulxOLztMOmacdN3G-R149zS87jKuHjWr3nKlZQ,
